,full_name,birthdate,team_id,position,nationality,created_at,updated_at
54,T. Basic,25/11/96,Football Club des Girondins de Bordeaux,Mil.,CRO,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
55,T. Lacoux,25/01/02,Football Club des Girondins de Bordeaux,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
56,Otavio,4/05/94,Football Club des Girondins de Bordeaux,Mil.,BRE,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
57,J. Seri,19/07/91,Football Club des Girondins de Bordeaux,Mil.,CIV,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
58,I. Sissokho,30/01/02,Football Club des Girondins de Bordeaux,Mil.,MLI,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
59,M. Zerkane,15/07/99,Football Club des Girondins de Bordeaux,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
60,D. Bakwa,26/08/02,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
61,H. Ben Arfa,7/03/87,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
62,J. Briand,2/08/85,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
63,N. De Préville,8/01/91,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
64,L. Delaurier-Ch...,22/04/02,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
65,I. Diarra,19/05/98,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
66,U. Hwang,28/08/92,Football Club des Girondins de Bordeaux,Att.,CDS,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
67,S. Kalu,26/08/97,Football Club des Girondins de Bordeaux,Att.,NGA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
68,S. Mara,30/07/02,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
69,R. Oudin,18/11/96,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
70,A. Traoré,7/03/02,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
71,A. Traoré,7/03/02,Football Club des Girondins de Bordeaux,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
72,S. Cibois,2/03/98,Stade Brestois 29,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
73,M. Hassen,5/03/95,Stade Brestois 29,Gar.,TUN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
74,G. Larsonneur,23/02/97,Stade Brestois 29,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
75,L. Baal,24/05/86,Stade Brestois 29,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
76,D. Bain,2/07/93,Stade Brestois 29,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
77,L. Brassier,2/11/99,Stade Brestois 29,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
78,B. Chardonnet,22/12/94,Stade Brestois 29,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
79,J. Duverne,12/07/97,Stade Brestois 29,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
80,J. Faussurier,14/01/87,Stade Brestois 29,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
81,C. Hérelle,22/08/92,Stade Brestois 29,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
82,R. Perraud,22/09/97,Stade Brestois 29,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
83,R. Pierre-Gabriel,13/06/98,Stade Brestois 29,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
84,H. Belkebla,28/01/94,Stade Brestois 29,Mil.,ALG,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
85,K. Benvindo,,Stade Brestois 29,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
86,I. Dioh,21/01/99,Stade Brestois 29,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
87,B. Fadiga,15/01/01,Stade Brestois 29,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
88,R. Faivre,14/07/98,Stade Brestois 29,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
89,Jean Lucas,22/06/98,Stade Brestois 29,Mil.,BRE,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
90,P. Lasne,16/01/89,Stade Brestois 29,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
91,H. Magnetti,30/05/98,Stade Brestois 29,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
92,H. Mbock,28/12/99,Stade Brestois 29,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
93,F. N'Goma,15/06/93,Stade Brestois 29,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
94,R. Philippoteaux,2/03/88,Stade Brestois 29,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
95,D. Bangoura,27/12/01,Stade Brestois 29,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
96,I. Cardona,8/08/97,Stade Brestois 29,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
97,G. Charbonnier,27/12/88,Stade Brestois 29,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
98,F. Honorat,11/08/96,Stade Brestois 29,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
99,J. Le Douaron,21/04/98,Stade Brestois 29,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
100,S. Mounié,29/09/94,Stade Brestois 29,Att.,BEN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
101,S. Mounié,29/09/94,Stade Brestois 29,Att.,BEN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
102,J. Siwe,29/07/01,Dijon Football Côte-d'Or,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
103,W. Farinez,15/02/98,Racing Club de Lens,Gar.,VEN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
104,J. Leca,21/09/85,Racing Club de Lens,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
105,Y. Pandor,1/05/01,Racing Club de Lens,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
106,L. Badé,11/04/00,Racing Club de Lens,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
107,I. Boura,14/08/00,Racing Club de Lens,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
108,J. Clauss,25/09/92,Racing Club de Lens,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
109,Z. Diallo,13/08/86,Racing Club de Lens,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
110,S. Fortes,17/04/92,Racing Club de Lens,Déf.,CAV,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
111,J. Gradit,24/11/92,Racing Club de Lens,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
112,M. Haïdara,2/12/92,Racing Club de Lens,Déf.,MLI,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
113,O. Kamara,29/12/04,Racing Club de Lens,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
114,F. Medina,28/05/99,Racing Club de Lens,Déf.,ARG,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
115,C. Michelin,11/05/97,Racing Club de Lens,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
116,I. Sylla,1/01/93,Racing Club de Lens,Déf.,GUI,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
117,C. Traoré,31/03/95,Racing Club de Lens,Déf.,MLI,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
118,Y. Cahuzac,18/01/85,Racing Club de Lens,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
119,B. Camara,,Racing Club de Lens,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
120,C. Doucouré,8/01/00,Racing Club de Lens,Mil.,MLI,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
121,S. Fofana,7/05/95,Racing Club de Lens,Mil.,CIV,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
122,G. Kakuta,21/06/91,Racing Club de Lens,Mil.,RDC,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
123,A. Louveau,1/02/00,Racing Club de Lens,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
124,T. Mauricio,22/03/94,Racing Club de Lens,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
125,A. Oudjani,29/08/01,Racing Club de Lens,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
126,D. Pereira Da...,5/01/01,Racing Club de Lens,Mil.,POR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
127,J. Varane,9/09/01,Racing Club de Lens,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
128,S. Banza,13/08/96,Racing Club de Lens,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
129,I. Ganago,16/02/99,Racing Club de Lens,Att.,CAM,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
130,C. Jean,15/07/95,Racing Club de Lens,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
131,A. Kalimuendo,20/01/02,Racing Club de Lens,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
132,F. Sotoca,25/10/90,Racing Club de Lens,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
133,A. Sow,9/05/00,Racing Club de Lens,Att.,SEN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
134,A. Sow,9/05/00,Racing Club de Lens,Att.,SEN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
135,L. Chevalier,6/11/01,LOSC Lille,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
136,O. Karnezis,11/07/85,LOSC Lille,Gar.,GRE,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
137,M. Maignan,3/07/95,LOSC Lille,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
138,S. Botman,12/01/00,LOSC Lille,Déf.,HOL,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
139,I. Bouleghcha,9/12/02,LOSC Lille,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
140,D. Bradaric,10/12/99,LOSC Lille,Déf.,CRO,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
141,T. Djalo,9/04/00,LOSC Lille,Déf.,POR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
142,J. Fonte,22/12/83,LOSC Lille,Déf.,POR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
143,N. Innocenti,19/02/02,LOSC Lille,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
144,R. Mandava,21/01/94,LOSC Lille,Déf.,MOZ,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
145,J. Pied,23/02/89,LOSC Lille,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
146,M. Çelik,17/02/97,LOSC Lille,Déf.,TUR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
147,B. André,3/08/90,LOSC Lille,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
148,R. Ascone,12/09/03,LOSC Lille,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
149,J. Bamba,26/03/96,LOSC Lille,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
150,A. Camara,20/05/01,LOSC Lille,Mil.,GUI,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
151,M. Kapi,8/08/02,LOSC Lille,Mil.,TUR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
152,E. Pizzuto,13/05/02,LOSC Lille,Mil.,MEX,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
153,R. Sanches,18/08/97,LOSC Lille,Mil.,POR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
154,B. Soumaré,27/02/99,LOSC Lille,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
155,Xeka,10/11/94,LOSC Lille,Mil.,POR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
156,Y. Yazici,29/01/97,LOSC Lille,Mil.,TUR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
157,A. Zekaj,16/04/00,LOSC Lille,Mil.,SER,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
158,L. Araujo,2/06/96,LOSC Lille,Att.,BRE,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
159,J. David,14/01/00,LOSC Lille,Att.,CAN,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
160,J. Ikoné,2/05/98,LOSC Lille,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
161,José Bica,16/06/03,LOSC Lille,Att.,POR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
162,I. Lihadji,10/04/02,LOSC Lille,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
163,T. Weah,22/02/00,LOSC Lille,Att.,USA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
164,B. Yilmaz,15/07/85,LOSC Lille,Att.,TUR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
165,B. Yilmaz,15/07/85,LOSC Lille,Att.,TUR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
166,T. Bartouche,5/06/97,Football Club Lorient-Bretagne Sud,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
167,T. Callens,6/09/98,Football Club Lorient-Bretagne Sud,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
168,M. Dreyer,20/03/89,Football Club Lorient-Bretagne Sud,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
169,P. Nardi,18/05/94,Football Club Lorient-Bretagne Sud,Gar.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
170,M. Doumbouya,14/03/00,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
171,Y. Etienne,19/05/97,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
172,T. Fontaine,8/05/91,Football Club Lorient-Bretagne Sud,Déf.,MAD,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
173,A. Gravillon,8/02/98,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
174,J. Hergault,5/04/86,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
175,J. Homawoo,12/11/97,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
176,T. Ilori,26/02/93,Football Club Lorient-Bretagne Sud,Déf.,POR,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
177,J. Laporte,4/11/93,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
178,V. Le Goff,15/10/89,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
179,H. Mendes,4/05/98,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
180,J. Morel,2/04/84,Football Club Lorient-Bretagne Sud,Déf.,MAD,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
181,L. Mouyokolo,22/05/01,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
182,M. Saunier,7/02/90,Football Club Lorient-Bretagne Sud,Déf.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
183,L. Abergel,1/02/93,Football Club Lorient-Bretagne Sud,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
184,Q. Boisgard,17/03/97,Football Club Lorient-Bretagne Sud,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
185,T. Chalobah,5/07/99,Football Club Lorient-Bretagne Sud,Mil.,ANG,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
186,J. Delaplace,20/03/86,Football Club Lorient-Bretagne Sud,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
187,A. Laurienté,4/12/98,Football Club Lorient-Bretagne Sud,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
188,E. Le Fée,3/02/00,Football Club Lorient-Bretagne Sud,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
189,F. Lemoine,13/03/87,Football Club Lorient-Bretagne Sud,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
190,S. Marveaux,15/04/86,Football Club Lorient-Bretagne Sud,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
191,T. Monconduit,10/02/91,Football Club Lorient-Bretagne Sud,Mil.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
192,F. Wadja,30/11/94,Football Club Lorient-Bretagne Sud,Mil.,CAM,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
193,S. Diarra,9/12/98,Football Club Lorient-Bretagne Sud,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
194,A. Grbic,4/08/96,Football Club Lorient-Bretagne Sud,Att.,AUT,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
195,P. Hamel,19/03/94,Football Club Lorient-Bretagne Sud,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
196,T. Moffi,25/05/99,Football Club Lorient-Bretagne Sud,Att.,NGA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
197,D. Ouattara,11/02/02,Football Club Lorient-Bretagne Sud,Att.,BUF,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
198,Y. Wissa,3/09/96,Football Club Lorient-Bretagne Sud,Att.,FRA,2021-07-01 13:56:41.648858,2021-07-01 13:56:41.652471
